nupdates,explained_variance,value_loss,total_timesteps,policy_entropy,fps
85500,0.5521489679813385,0.1390819102525711,6840000,0.9251898527145386,1275
85600,0.8721763342618942,0.2188943326473236,6848000,0.8479272723197937,1275
85700,0.610430896282196,0.0950603261590004,6856000,0.8788080215454102,1275
85800,0.6954153776168823,0.11959443986415863,6864000,0.8373783230781555,1276
85900,0.8001429587602615,0.31928443908691406,6872000,0.8588111996650696,1276
86000,0.9703786615282297,0.008161964826285839,6880000,0.898337185382843,1276
86100,0.49073338508605957,0.4241766035556793,6888000,0.8024566769599915,1276
86200,0.9032869786024094,0.039959706366062164,6896000,0.9709490537643433,1276
86300,0.9555366933345795,0.04217510670423508,6904000,0.8362634778022766,1276
86400,0.8818808868527412,0.015352673828601837,6912000,0.8851226568222046,1276
86500,0.7993100136518478,0.38894158601760864,6920000,0.8097182512283325,1277
86600,0.7685324251651764,0.053615499287843704,6928000,0.925454318523407,1277
86700,0.7288089692592621,0.23590905964374542,6936000,0.8738775253295898,1277
86800,0.4779548645019531,0.13815243542194366,6944000,0.8735358119010925,1277
86900,0.91013552993536,0.014848509803414345,6952000,0.8435040712356567,1277
87000,0.6796833574771881,0.028656721115112305,6960000,0.7496665716171265,1277
87100,0.8709038943052292,0.03635101020336151,6968000,0.8160193562507629,1277
87200,0.8588511049747467,0.05964149162173271,6976000,0.9513055086135864,1277
87300,0.8675594478845596,0.018236642703413963,6984000,0.9290933609008789,1278
87400,0.7222624123096466,0.015291580930352211,6992000,0.9428855776786804,1278
87500,0.9332150146365166,0.013588686473667622,7000000,0.8253208994865417,1278
87600,0.9707276523113251,0.0936126857995987,7008000,0.861099362373352,1278
87700,0.8755321130156517,0.023576583713293076,7016000,0.7678180932998657,1278
87800,0.59088334441185,0.22637777030467987,7024000,0.8762617111206055,1278
87900,0.9567745365202427,0.016950925812125206,7032000,0.9224535822868347,1278
88000,0.9487485215067863,0.02504616603255272,7040000,1.000739336013794,1279
88100,0.949427030980587,0.014911158010363579,7048000,0.7973721027374268,1279
88200,0.9339464902877808,0.00707791605964303,7056000,0.8226590156555176,1279
88300,0.8988234996795654,0.017721951007843018,7064000,0.9351642727851868,1279
88400,0.8803536891937256,0.0670795738697052,7072000,0.8378912210464478,1279
88500,0.965593196451664,0.03343484550714493,7080000,0.9035589098930359,1279
88600,0.40879976749420166,0.3200790584087372,7088000,0.8138362765312195,1279
88700,0.8888274431228638,0.020976286381483078,7096000,0.8528396487236023,1279
88800,0.7605063170194626,0.06145939975976944,7104000,0.893777072429657,1280
88900,0.9657650515437126,0.060771822929382324,7112000,0.8286341428756714,1280
89000,0.8136359453201294,0.06736151874065399,7120000,0.9085257649421692,1280
89100,0.7695537060499191,0.08620834350585938,7128000,0.7939001321792603,1280
89200,0.8166231364011765,0.8209643363952637,7136000,0.8149963617324829,1280
89300,0.6695636510848999,0.2547529339790344,7144000,0.8686541318893433,1280
89400,0.9720060285180807,0.06199241802096367,7152000,0.8044840097427368,1280
89500,0.9601670131087303,0.016101049259305,7160000,0.8797370791435242,1281
89600,0.9332892447710037,0.02395493909716606,7168000,0.8943784832954407,1281
89700,0.8423819690942764,0.07232549041509628,7176000,0.8196457624435425,1281
89800,0.8757557198405266,0.050640709698200226,7184000,0.8646548390388489,1281
89900,0.867473915219307,0.02178395725786686,7192000,0.9348901510238647,1281
90000,0.669293999671936,0.15901945531368256,7200000,0.8163159489631653,1281
90100,0.9563187919557095,0.08480711281299591,7208000,0.8417627215385437,1281
90200,0.8467549532651901,0.023472538217902184,7216000,0.9018524289131165,1281
90300,0.7762806564569473,0.10179879516363144,7224000,0.8695665597915649,1282
90400,0.9497204199433327,0.18608447909355164,7232000,0.8484207987785339,1282
90500,0.881981149315834,0.25888827443122864,7240000,0.8308470845222473,1282
90600,0.966489665210247,0.0186937116086483,7248000,0.8697706460952759,1282
90700,0.9320262596011162,0.02864830568432808,7256000,0.8703066110610962,1282
90800,0.9527415931224823,0.13166025280952454,7264000,0.8754652142524719,1282
90900,0.8912035599350929,0.026569446548819542,7272000,0.8439687490463257,1282
91000,0.9715066440403461,0.015960117802023888,7280000,0.917535126209259,1282
91100,0.8436751812696457,0.02699631080031395,7288000,0.8214494585990906,1283
91200,0.9017697274684906,0.03827262669801712,7296000,0.8521968126296997,1283
91300,0.988685742020607,0.03731134906411171,7304000,0.9146208763122559,1283
